(Threshold 1 (Usual care)),(Threshold 4 (SF < 110))
69434.69387,75010.41165
81838.96103,94001.55963
65718.04513,75888.23188
67498.20855,74383.00029
75991.59868,87527.82665
64675.55533,75211.10388
77180.68809,89087.78495
71112.60809,81537.26124
68426.49137,74475.49173
70045.11826,83696.25421
87650.69032,108090.8107
69365.87793,81643.56596
70520.91574,87173.39242
81842.09217,89750.30299
74704.95127,85859.44608
76300.39206,92609.54692
79923.98196,83981.13461
74149.13493,84805.07706
74151.03192,84259.89221
69862.91861,80471.00588
74007.60555,82521.20708
77510.47175,93981.40163
82965.7308,98323.77664
78182.71796,94320.40264
72264.4148,82340.70731
74691.427,85941.65533
75103.58195,86576.37078
70239.42353,81525.69936
79162.33451,87101.1535
69470.63512,82294.77587
79411.58868,88311.61172
72795.30058,77598.33309
73657.1106,86098.69023
72289.5601,79730.77013
80487.35944,90711.1562
61224.51073,74470.82467
78790.53297,97289.82869
78150.72377,90540.53498
80406.99062,85593.8512
97459.237,101614.6697
85715.19105,98239.65657
82092.83042,91007.49961
60108.63169,76932.679
78004.32249,94161.71428
80102.50386,84980.45385
78867.73077,89763.13432
76256.63252,84780.97724
71264.20692,85817.75657
78354.11214,90579.9328
75276.88458,80069.23736
63824.98278,77699.10582
75217.8694,90150.61024
72834.00907,78489.38638
77765.56686,85832.82207
83508.92174,98115.09523
59169.86267,76350.19755
81671.63678,93148.54138
69305.84463,85672.38596
82557.12381,87931.08334
71234.84338,85528.49137
81343.84509,95730.10816
68428.58985,75816.23748
72259.21947,80022.07212
77819.06202,88284.43939
69793.95614,77598.29868
93754.47103,107986.4968
75680.4842,87101.1889
63054.95525,78484.68123
70708.17056,79723.66847
77356.41328,77107.85722
66328.16953,78038.1654
75325.66852,91155.1157
76654.96287,93103.19646
73993.97351,83436.50421
76095.90538,84531.72261
79497.82869,81290.04962
72868.15748,81794.33933
76545.71523,84532.60092
71900.23831,86988.04712
82397.36817,87334.3905
77171.94418,89069.07656
79154.29286,83585.51418
72722.85216,85945.90971
75599.00071,86831.63876
70540.94333,78889.29389
78114.29965,94803.87475
94067.79572,99523.09762
76484.36786,92312.10682
77109.43198,83039.18742
78224.84415,94234.43687
74902.0935,86151.31861
68755.01605,94761.74572
72632.217310000007,88680.88723
76127.6976,90960.79087
74645.43075,86262.12207
79836.6074,95301.28988
65711.59741,84228.72574
75106.5605,82512.98555
67997.87587,72565.5258
80033.14433,85872.09001
72126.71126,87803.40177
74922.32399,79965.84802
74657.20456,91128.43921
73637.07933,77440.91215
72533.3731,77452.84976
72561.9842,91750.99423
80987.59454,91710.11985
77309.15632,85298.63192
