(Threshold 1 (Usual care)),(Threshold 4 (SF < 110))
6.253437735,8.643483521
9.222168126,8.775702926
6.959100014,9.097441846
9.125439407,7.197037573
7.208226144,7.663887249
7.676043987,8.456908386
7.270038872,6.324791194
7.875287476,5.944425395
6.310524896,6.332567715
5.644037654,8.039621449
10.24860637,8.789434304
6.615709217,10.38680164
7.787585684,9.485492361
7.787381468,7.160347497
8.328487729,10.77483501
7.767876746,9.956978381
7.74649033,8.661075067
7.336994059,9.519735221
7.094638173,5.794415721
6.456001451,8.117213427
8.589194512,9.202971018
6.70322777,8.875891647
9.732480833,8.500521753
10.40182564,6.94565319
6.83560165,7.261912584
10.32801,9.310179729
9.858800416,10.21276344
7.455877243,9.550613503
9.200173962,9.350613873
10.64561172,10.12685763
6.908040468,9.287158627
10.3141979,10.29150105
9.880212174,9.963242935
8.201221955,9.428904697
9.63171941,9.148721505
9.476486099,9.812322926
7.764418749,10.18542243
7.975913637,8.539215134
7.803513021,9.232724343
6.55448961,8.28137029
7.064111924,8.219015531
7.788029939,6.464254768
10.48449072,8.051338918
8.742461711,8.815900963
8.97946225,9.910367532
9.620010821,7.535897458
7.427043872,6.883980657
9.942087838,9.897960819
7.278403837,8.109875912
6.733982919,9.291686378
9.420989936,5.765876664
8.402394852,10.78570618
8.281883974,7.633532551
9.978516305,8.797754119
7.793259862,7.365064066
10.47873943,7.104871477
10.86030056,12.5851377
8.633218736,8.511956765
9.552768618,9.77391259
10.05375127,11.18540945
7.273361845,9.287801812
7.680682949,9.241275709
9.554464707,9.686014496
9.291059039,8.960004472
9.836197018,8.694688675
11.0638594,10.17734961
7.859013293,8.182796306
8.570534837,5.30036945
6.444084349,8.721581817
9.912747933,5.928818629
9.086681779,9.72899905
9.969501521,10.42194813
9.938057716,9.271874456
7.241325796,3.79518493
7.260487607,9.16735234
8.41332646,9.142770382
8.716474373,7.398289522
8.951269348,8.20359677
8.971583291,7.940803704
8.737576168,9.766038802
7.205878362,9.303213935
8.868911523,8.474868257
7.847706152,8.138527209
11.01569334,7.359642204
8.19549081,9.250488846
7.470981755,5.614407864
9.206791672,9.031928699
7.300835545,6.164336386
8.679600491,7.413144301
8.80659689,7.135676614
7.794936551,8.85045556
7.004601117,7.75562465
8.800579026,9.269515644
6.372607659,5.501513944
8.246839448,8.804864622
5.111991484,7.157228341
9.585503422,8.134135665
8.064996259,5.412023121
8.365795798,6.963499086
8.967063876,10.32262204
7.193529491,9.800261477
8.000056576,8.818211283
8.500102434,8.682269866
9.265550975,10.37052459
9.469855421,7.01931693
6.737256301,11.09642924
7.2678264,8.377285165
10.18580615,8.013091183
5.403810055,7.525972691
9.36797959,8.963325764
7.168863473,8.170467064
6.791496305,8.410791928
8.051394629,8.781599768
5.464908139,6.157497855
8.194391703,8.850685449
6.046044877,8.464473027
8.371679404,9.232396436
8.123906622,9.294725924
10.24427607,8.285258687
8.944952563,9.143065656
8.383246456,8.125448205
9.744015919,7.452149821
5.870933523,6.960269838
8.742540179,6.742577364
8.501009152,7.964089183
10.65178242,8.768761856
7.927098294,8.84909746
7.420006359,7.217310048
7.766293562,8.500302972
9.967790502,10.19116188
7.458845047,7.16374364
7.988463811,6.659719016
8.289222373,7.290493452
8.883086199,6.814598568
8.642566688,9.538457484
6.346550062,8.361891505
7.664080765,9.669736197
7.495890898,9.683415595
8.609050067,9.845537274
6.34532581,8.009519849
7.873156878,8.166342849
6.947675239,10.12665816
8.473170998,6.462074448
7.573827383,7.850428776
9.942111857,8.658029618
9.762706071,9.838183305
8.047223555,7.422642658
8.415312093,8.618803121
8.782505229,9.592509692
7.973370364,8.704694664
8.157206481,9.119386542
8.293914783,7.612673669
7.544517176,8.433985054
9.914780002,9.52348647
8.807640667,8.632885938
8.98347269,7.622353325
7.363351407,6.779666821
10.495157560000001,8.590432954
8.047131233,9.738281904
7.313395477,9.995394546
9.654736714,8.247196328
5.451818716,8.77701382
8.722613318,11.73015661
6.547175326,7.14012335
4.853329396,8.209913878
9.687619584,8.186028982
7.896219386,5.228039962
9.333411731,9.609025414
8.374727828,7.93244704
9.42024413,9.330980822
8.7988847,6.9328874130000004
9.037085921,9.131371067
8.150035481,6.935487753
8.576150098,10.09752373
9.226513273,10.01367582
9.165451795,7.373161235
8.059437984,8.086053848
8.364889596,8.285633005
