d_Recovery18to64Cost,d_Recovery65plusCost,d_Recovery18to64CostMean,d_Recovery65plusCostMean,d_LongtermDisabilityUtility,d_thresh1_imv_surv,d_thresh1_surv,d_thresh2_imv_surv,d_thresh2_surv,d_beta_imvDuration_intercept,d_beta_imvDuration_death28,d_beta_imvDuration_age,d_beta_imvDuration_sex,d_beta_imvDuration_logalpha,d_beta_oxygenDuration_intercept,d_beta_oxygenDuration_death28,d_beta_oxygenDuration_imv28,d_beta_oxygenDuration_age,d_beta_oxygenDuration_sex,d_beta_oxygenDuration_logalpha,d_beta_hospitalDuration_intercept,d_beta_hospitalDuration_death28,d_beta_hospitalDuration_imv28,d_beta_hospitalDuration_age,d_beta_hospitalDuration_sex,d_beta_hospitalDuration_logalpha,d_LTD_riskgroup0,d_LTD_riskgroup1,d_LTD_riskgroup2,d_LTD_riskgroup3,d_LTD_riskgroup4,d_imv1,d_imv2,d_imv3,d_imv4,d_imv5,d_oxygen1,d_oxygen2,d_oxygen3,d_oxygen4,d_oxygen5,d_ward1,d_ward2,d_ward3,d_ward4,d_ward5,d_y1,d_y2,d_y3,d_y4,d_y5,d_thresh1_imv_death,d_thresh2_imv_death,d_LTDmortalityHR,d_dischargeSurvival_shape,d_dischargeSurvival_scale,d_dischargeSurvival_ageHR
30117.44422,33470.61757,3061.8932370000002,33593.94255,0.234802163,0.276969679,0.853983578,0.149942715,0.475938457,2.370874796,-0.477999125,-0.233890575,-0.033409697,-0.177822926,1.832682071,-0.536948855,-0.119267257,-0.025473515,0.063370172,-0.231705231,2.184336638,-0.440120075,-0.095226733,-0.0338219,0.120481792,-0.255975516,0.011415428,0.24186808,0.233006425,0.440233036,0.590144647,6909.524644,4670.139497,3549.081172,3432.473272,3688.237758,3690.355844,1822.559099,2962.283805,2359.254338,4246.370895,2868.629843,951.3051482,1956.281587,1307.497525,2708.326966,35732.13444,11940.12828,7122.459265,6616.948672,3850.234259,0.449610326,0.211077874,1.597912101,0.40964611,15.64880543,0.571163201
30045.73224,28447.0635,4178.926886,28337.68934,0.133866975,0.382821205,0.842754315,0.128697607,0.545536891,2.432452885,-0.389999811,-0.221211828,-0.004564716,-0.069227662,1.630012181,-0.416018277,-0.200564554,-0.007526596,-0.018813121,-0.071586822,2.358729253,-0.321372957,0.063014217,-0.130616156,0.036534398,-0.298777511,0.043494764,0.183703666,0.246009304,0.326373934,0.527654111,6264.81293,3783.226122,4406.519723,3000.27469,3591.967356,4135.177547,2622.210326,2853.204193,2387.908416,1314.407887,1987.653587,1475.658203,1892.503992,1153.851349,1313.260626,18688.11328,9349.627249,9678.297146,2351.305967,4145.719461,0.082309943,0.255522584,1.408395248,0.499689503,19.35129166,1.242368051
30063.84173,31515.81398,3933.158151,31573.78057,0.219612463,0.269606415,0.873437749,0.278708983,0.631179315,2.431558066,-0.404623053,-0.21318234,-0.006407463,-0.144386431,1.881983871,-0.418084529,-0.103462614,-0.25023536,-0.015804869,-0.103239495,2.196381525,-0.413971115,-0.18177645,-0.116949771,0.035830537,-0.237049838,0.016282274,0.175813644,0.311561362,0.294445137,0.625267335,7892.758122,3859.878422,5333.342844,3904.028926,2884.455979,4475.880042,3032.150701,2462.168572,1112.740167,2726.775686,2341.872857,1221.89355,1868.972846,1027.536678,1803.706394,33791.3624,8386.8611,12381.72811,14581.08472,9510.794467,0.246133884,0.241084537,1.349354596,0.490304433,14.86296963,1.415677769
30039.29297,31760.44871,3381.88864,31826.5912,0.159153743,0.198154878,0.846697596,0.421138598,0.667223177,2.204756517,-0.395905525,-0.155940701,-0.070486523,-0.189930881,1.805288201,-0.473280307,-0.016801624,-0.010904877,-0.02899042,-0.077445139,2.060555368,-0.304580499,0.011981201,-0.109295155,0.128348622,-0.304026199,0.014273904,0.155344351,0.249267329,0.485513424,0.515514931,7380.798652,4918.403299,3946.619353,3155.1465,4308.595213,3364.114313,2898.884091,1436.968662,2120.509896,2018.955864,2887.802427,2118.37891,1795.463689,1381.684667,2009.391791,24589.26315,13410.25765,7691.576159,5999.625299,3149.028867,0.403286933,0.298719621,1.832265605,0.432804281,17.75976611,1.344346157
30000.46095,34242.02099,3778.497382,34241.88372,0.195233252,0.352948981,0.79115358,0.267728651,0.921566619,2.421153727,-0.383281808,-0.201826,-0.085768526,0.024008098,1.788320954,-0.527021928,-0.064595266,-0.059713728,0.095072893,-0.175266961,2.184675962,-0.242297877,-0.024415763,-0.07764319,0.066598186,-0.296776001,0.035595664,0.139019332,0.237815812,0.332405215,0.539627638,5816.569757,5515.411728,4644.980408,4629.138255,5509.739728,4017.650857,4198.042965,2464.98805,1620.903838,2465.455509,2064.269588,1958.134481,3150.29076,2980.908295,1556.120935,24190.498200000002,13969.26058,3622.613357,9475.380515,4734.688377,0.192652521,0.084239166,1.307645727,0.485700978,8.566341351,1.660456725
29995.00303,20241.14811,3054.726894,19928.30602,0.119825066,0.284607601,0.778041944,0.128275193,0.798191466,2.181396342,-0.466028986,-0.338336534,-0.064628889,-0.114231517,1.822287637,-0.512592016,-0.150657972,-0.036420153,0.031277,0.051888436,2.205703123,-0.438806205,-0.135053692,-0.011539911,0.123565397,-0.268193154,0.050776983,0.145332852,0.262017929,0.334529417,0.630673916,6432.085935,5020.523603,5041.740369,3422.18814,3988.617741,2695.658643,2359.51983,3209.049614,2416.451637,2047.135578,1469.381861,2380.360295,1600.794042,1921.81759,1287.074597,24847.80719,10729.30538,8654.112681,9079.829046,8030.196278,0.132136891,0.11268743,1.564168648,0.520070249,18.55757614,1.589517842
30074.43711,28398.52908,3548.497575,27873.07166,0.213989048,0.402917248,0.841243848,0.250688794,0.83695071,2.064278895,-0.3913489,-0.207363231,-0.089798457,-0.066831097,1.866030391,-0.444956253,-0.185646529,0.014969662,0.031074035,-0.09677359,1.934988787,-0.273408145,-0.223259479,0.13095031,-0.021976672,-0.144225083,0.005678356,0.142735377,0.293227995,0.414431141,0.550386663,7770.200615,5015.137687,4768.406108,4928.252432,2740.55716,5323.441304,2793.26878,2315.343755,4728.283918,4005.229146,2089.543057,1509.535113,1471.249052,2068.225441,1060.045069,40644.10484,22106.6551,10393.13144,9825.215115,1702.085045,0.263834691,0.241038443,1.415349717,0.463244656,19.0303118,1.379052638
29982.30866,33162.96687,3293.07786,33078.47846,0.338909216,0.230126535,0.820743717,0.247605666,0.861995534,2.266993625,-0.527238879,-0.190127622,-0.060322205,-0.07792562,1.542666446,-0.513959989,-0.265286016,-0.120219657,-0.006459984,-0.221517703,2.352307121,-0.464518208,-0.11574588,0.071813971,-0.028606483,-0.301896072,0.037735803,0.076888915,0.233232955,0.394376885,0.652679481,7193.228281,3711.112762,4237.311442,4695.078474,3688.734153,5010.460421,3286.971298,3095.534001,2483.487517,2395.10786,2983.207848,1082.82285,1609.087364,1770.589703,2071.050176,30745.80526,16437.10765,3338.62339,5662.940469,4833.457391,0.231733885,0.162356813,1.743226605,0.492769653,19.5471647,1.521617771
30026.82643,28682.1229,3775.249205,28468.79145,0.261640428,0.431878705,0.507764377,0.103160146,0.890767477,2.196506573,-0.546194434,-0.182857857,0.032455371,-0.090501883,1.779486807,-0.385216245,-0.118572194,-0.009038486,0.11903245,-0.237537544,1.756993504,-0.447388839,-0.166184675,0.01868481,0.062400722,-0.312139616,0.00357101,0.069249308,0.326089087,0.348794756,0.578266518,7460.026513,4938.586636,4614.504765,4778.193099,3311.999615,3958.678531,4255.289355,2809.079105,3711.921124,3897.518504,1768.355124,1392.602523,2200.760622,1484.032361,929.3656962,21267.01979,16694.75592,4110.330497,5015.575663,8025.021816,0.068270316,0.192211575,1.919576308,0.479204652,15.22142598,1.078552003
30043.55364,23668.25406,3425.602782,23509.99394,0.148211754,0.305750709,0.570361256,0.144613214,0.752192708,2.401383613,-0.439500116,-0.340820941,0.024391111,0.04178945,1.73014183,-0.41027444,-0.191918256,-0.023254867,0.074423541,-0.172293041,2.163998841,-0.5413218,-0.237056052,-0.046875457,0.150934664,-0.211726662,0.052567899,0.119069458,0.309035878,0.387450855,0.645579458,8238.603247,5239.639421,4585.547672,4140.37744,3519.089534,4167.475981,3436.136322,3991.948214,3292.342053,1559.631377,2033.840304,1674.735925,2988.073078,1538.66928,749.0599256,21777.59957,6669.20982,7249.278277,5042.545257,2954.693441,0.168375363,0.47494976,1.415015086,0.474045594,14.29290926,2.023706345
