"Cost
(Threshold Usual care)","Cost
(Threshold SF < 88)"
72583.74864,63997.69909
71097.01616,72144.78516
70096.40318,69675.97729
69667.94522,70808.45296
66221.94772,64380.4984
75450.29445,70214.55688
69358.9809,64878.88775
70998.31869,77927.05466
78264.65726,68619.45052
61961.42457,61097.438
67979.81661,71528.86161
73551.76014,70926.50823
70563.95372,70325.13522
67687.72406,66322.7328
72235.72382,70516.19376
73171.81739,70632.50618
67339.70294,69224.00743
79974.76303,74979.5319
57699.68798,53177.67536
69806.30179,64129.09772
72264.84229,78878.17562
74433.56183,79840.9229
70440.983,59580.01275
75033.99678,75055.14844
64516.50199,57759.86964
69558.48482,70691.5393
78627.68213,72294.129
80057.66078,69827.47926
75429.41829,76871.53134
79563.74458,82418.05253
61737.06809,68366.63567
77180.7362,71973.69862
84106.08281,78785.2136
75924.74881,71037.84006
79510.88842,76159.57154
70636.00209,69188.71664
71935.1384,74429.25901
67747.878,68146.39514
70611.04404,71431.97084
64214.75235,62389.65371
75330.18581,68286.36608
67872.48486,65853.40448
72476.87745,65396.53064
72697.19064,73693.33429
59720.243520000004,63072.66335
68900.75647,61905.04428
81914.34554,80496.57396
73335.20361,66641.85889
85153.98583,78584.48231
82310.62968,81434.19294
74606.051,64537.67288
70388.67957,69232.38034
76479.96174,74460.83579
80662.55909,74717.06527
78305.56201,74426.76262
78986.04957,82464.71216
75212.00209,73300.04876
68915.64089,65654.46505
77800.34401,75781.87003
76423.54147,74382.148
90500.629,80054.19661
81186.87996,78971.36648
79348.93753,72320.67486
73132.96719,73190.26765
74268.40122,71085.18357
85178.22548,80219.64371
67933.99961,63496.51022
67466.11046,74892.39591
70317.04165,71199.93582
62404.07801,60685.9282
79939.96928,71564.03545
70607.51487,68241.01764
78798.52038,73697.91991
72892.43907,72594.50444
77107.83261,76668.45964
75121.17585,74110.73252
68890.81476,65928.48249
74965.88921,71813.85943
85363.2198,83316.12796
73077.73898,70988.57521
72090.14815,69126.48101
75415.60716,73594.94394
84732.18109,84278.28927
71389.79781,72490.39443
68748.71999,67711.46588
69803.26512,61984.96108
68528.60432,65755.70948
72970.98215,66263.25179
83288.88208,82108.50838
62270.53653,60799.16046
83821.5678,82807.4831
86316.7605,74419.83445
78031.66927,71427.63135
82193.85003,72680.84464
84038.70573,81590.09742
70185.45153,74056.50916
68800.42162,64694.15101
79177.81626,80722.90763
80632.32292,77645.15712
69656.89258,64047.92089
76125.20813,77737.53203
69948.10214,68732.97062
62169.93766,57413.82112
70698.19961,65674.4149
76389.5541,68639.63919
82307.3747,84687.42315
64836.59884,70889.30734
75577.79479,64385.41486
67824.61287,64795.35898
74104.16601,71915.00895
75510.01559,72837.50507
74789.11647,74390.67851
68132.16041,68822.0947
79617.67309,82831.07939
85498.81527,74254.85614
73295.49703,66498.96542
76961.74247,70463.40035
75021.80731,78803.56842
82827.16784,75438.13421
70825.8244,69580.05118
78743.01859,69912.89052
64291.5867,65762.75135
74124.02144,68898.19609
76643.06463,73113.20846
63132.99106,60879.61377
63435.03764,69846.77597
86313.39825,80890.48341
81795.67218,72467.53388
75831.96641,74949.13682
68660.84977,61914.24381
83506.25457,85491.74524
86319.82764,78475.59117
69866.22431,65377.14993
72137.55591,69686.70533
71672.40037,71167.49123
64787.45142,59521.27642
79020.7745,78576.07305
74712.16387,65031.99885
68548.38965,64930.85907
87169.89405,77209.32537
74341.66014,66633.27808
84199.3856,71341.71174
75546.82659,72904.03178
79054.57614,68581.49386
66175.3808,61732.25279
71872.84955,67718.64451
86618.96298,80607.28005
65327.97278,68541.62334
71768.72401,70581.81733
77077.72909,67465.83081
72983.6973,70266.32127
75735.40603,72356.64112
68120.00722,75552.02699
71374.69544,64613.32706
68783.88172,65720.05976
77092.9224,79466.73713
73840.05474,74725.09957
82178.67115,79985.94398
72789.24718,66230.41274
76170.05142,65994.0372
77545.83304,66001.58312
90646.45988,77415.65414
79330.30572,70529.6913
86217.05121,81487.33427
71414.5218,70817.25897
69525.11324,65854.83379
68600.48161,67894.36591
73965.56901,67936.01334
81165.01452,69222.53751
70993.9676,72751.09251
77371.86321,70117.89426
81884.34106,78156.80438
74987.31514,79775.40808
63717.36706,63920.45764
74661.31092,71850.94107
90400.60219,87033.78
75707.28122,69047.69818
79210.06751,74475.87835
79022.75985,71066.48286
71530.21549,69854.13145
65347.08669,67235.95449
72076.40413,66387.42195
72655.46406,69284.81597
73854.87301,72400.57174
67788.67504,64387.1693
82476.65041,83981.13121
61792.56213,60612.67626
67977.21377,65609.34606
78927.1116,69336.11464
76527.58028,80600.79483
77601.3868,70594.57508
71164.95769,64396.09222
75325.76199,74741.68255
77027.80617,73551.51915
68001.21836,66540.00623
77255.65327,74161.35956
63764.35332,59320.53876
73013.97539,67674.46341
81350.06737,80588.18046
66227.03488,64380.91708
65873.91039,65287.14694
76451.8031,74497.13051
69451.37712,67117.87185
65410.84248,62908.16443
76447.87686,65534.79668
78297.10718,79145.67671
84208.84849,81569.31697
73366.51417,71412.37194
67258.13125,65840.97803
83971.58448,78898.86788
87049.89051,72597.23815
75435.34583,70831.26181
67303.97823,61009.12641
76045.82585,78842.30088
84147.862,82783.56608
77555.60663,67961.66929
74566.34265,78907.78572
64475.59076,67679.05546
78413.62388,74164.29251
88132.07841,77242.98275
67172.32931,68064.99005
67980.06786,64232.05822
68489.02783,67266.05667
66959.24692,72249.56438
71194.24988,74925.09885
68678.09883,64056.00684
76104.58518,74802.66627
84336.38125,76556.83452
77933.85826,70241.30587
75321.24394,77970.1458
71644.26547,68691.04952
91888.91021,84976.71119
78154.66449,67533.86878
78403.18008,71885.3205
65435.97235,67769.15986
86213.37339,69044.2824
75091.49041,72227.24816
71169.27893,65944.62195
73963.82743,70579.88623
73600.64785,67547.20592
66098.45105,64144.53959
76184.48509,72203.28249
86533.33519,83013.79904
85706.48848,75291.8288
72797.53811,69552.27215
73775.36463,76397.66681
71185.36822,67347.39213
77335.8932,73892.4621
74237.90628,66351.42808
74234.06577,72650.03614
69667.69507,73554.57024
96999.66055,86462.03878
68851.57764,65874.07199
77868.53515,76680.27378
73601.63783,64276.71167
78937.23001,76551.44306
72106.3414,67341.20568
63693.81462,63757.17416
60902.55147,61422.2856
62727.72506,60125.22178
74915.59113,73163.86462
65644.91408,63721.11455
73852.67028,71353.99603
60213.51337,64063.3603
70924.49021,68417.76939
79001.90928,77113.51197
73196.27296,72495.8645
71390.6979,71757.09474
78827.2302,69652.43595
71844.95116,68055.88425
76300.60499,88392.24405
74179.3267,73221.32419
67586.98865,65408.93674
64531.76968,62929.71892
91978.9301,84096.34964
69222.51491,73312.90291
67916.59141,62003.40521
95094.62505,78547.71337
68467.90554,65313.97418
77351.70239,71040.76976
70867.23562,67912.66709
74724.27798,73573.35722
73938.55859,66413.21128
76494.57283,74976.99517
78872.98927,69514.75843
75475.66064,74218.46514
72979.68792,73174.20237
74085.34555,75417.42713
61916.87139,62291.10685
62570.0134,58710.25049
71765.71067,59983.87623
66752.70251,66404.01748
63818.69839,61636.71752
84153.28091,81652.58091
80481.14666,74685.99865
75975.01897,68671.1089
74589.18347,70740.58912
67511.30134,63213.37927
77215.33511,79206.66499
85345.71003,84075.48842
88388.95772,84441.22727
82695.31499,83410.74226
80927.35943,66912.83348
72667.198,70179.59682
87594.71147,76299.55751
85370.0437,71732.75029
80766.71916,77058.11489
69974.36376,66108.36591
70151.83594,70174.61861
74209.11008,71825.04172
74839.87955,72476.39385
