"Effectiveness
(Threshold Usual care)","Effectiveness
(Threshold SF < 88)"
8.120824978,7.962320904
8.18950613,8.936573005
7.80322468,7.580137946
8.735804578,6.941290924
9.419288821,6.983115803
5.109772487,6.27810536
7.009724357,8.874508583
8.55091617,7.077940668
6.736799829,7.497250244
8.772119469,6.793259988
8.343062633,7.529016655
6.968995647,10.06748459
9.728106283,9.070677139
7.905200481,7.051070604
7.570959839,7.229324014
6.360373207,8.126806685
9.709912435,8.992624198
5.849224324,9.870395079
8.890691026,10.22643117
7.259670489,7.157778724
6.407970965,7.095440106
6.865452836,7.355454905
6.744655542,8.212271228
7.078276684,5.899802355
10.18325654,8.616556528
8.688690972,7.359217389
7.134629114,9.531338501
7.960369365,8.848015469
8.982606327,9.543373794
6.917685578,7.370009134
9.812819213,7.884181464
6.988837747,9.940264683
9.87527747,8.107486201
6.092739574,7.169089066
8.376501425,6.60635534
8.367391169,6.919850832
9.117828176,7.243871365
9.890524968,9.299276809
7.171937545,6.892473005
7.392033076,6.758825287
7.300773791,8.456274642
9.699305233,8.250971141
7.230150503,7.763039012
8.575912641,7.962962829
8.778884082,7.585024998
6.078011487,5.23671171
9.00041534,7.492154199
6.974659037,9.155553925
4.539635515,7.513443612
8.898137189,8.46496435
8.124650334,8.706973774
7.566111634,5.430102108
8.926963833,8.799335599
10.4908138,7.790820146
9.369693595,10.08371852
6.822462403,8.420942418
6.885326473,5.904760452
7.509225472,8.450155858
8.380338228,7.578776603
7.484981474,7.639557617
9.061310692,10.09941204
4.680350276,6.166451418
6.410184417,7.175240392
6.558656947,8.412366501
7.376124964,8.047864021
9.447292526,8.799692885
10.00475504,10.22600218
7.410888918,7.849386509
7.20109587,8.541591798
8.970065269,6.127244667
8.237550716,7.300693533
9.365231558,9.891374009
10.979104,8.503398765
7.374006368,9.02577792
8.123225951,6.929803391
7.555405753,9.506158778
10.4462231,7.332476452
7.305009284,8.677872589
9.247216048,7.967143976
9.813411375,9.731544222
8.446794423,9.412918351
10.08812882,8.109348121
8.139466618,10.10907809
7.394887356,6.746910574
8.419379322,6.160542837
8.362911895,7.503511744
7.387308818,8.218546693
7.183836638,9.240402788
9.868186465,9.961211475
6.209585921,10.09590287
6.879082992,8.110211073
8.491879289,6.133884756
11.02889831,9.50978409
6.996107639,7.481362585
8.159725547,6.833270341
6.534662112,6.295368603
8.119261957,7.522793573
8.038839194,8.137325528
5.765311612,6.901286644
8.211512671,7.478101837
7.352783007,8.363459207
7.556834396,5.075294495
8.098827718,8.893634594
8.431781789,8.479263619
8.110942842,9.669505644
8.654692192,7.952356714
6.721492372,9.882304755
6.461839643,8.451673914
6.518507924,8.200596724
9.866072893,8.733542075
7.914310714,7.110274509
7.740539873,9.046326394
8.898833882,6.011893924
10.25201162,10.02356051
8.67714913,8.237419573
4.399070269,7.402042505
9.342128494,11.07967839
6.009216948,7.476418736
8.324552776,8.552520415
8.199556825,6.251786554
9.77301366,8.219687048
8.778054481,8.061240337
6.639766886,9.274800961
10.58946106,7.791171898
8.596555075,5.086241659
10.44130328,9.113578258
5.641994785,7.117652494
8.782886719,6.025309599
9.002512303,8.892345615
10.74252269,9.874923801
9.973568593,9.225746973
7.4614979,9.621160351
7.95418698,9.145836218
7.108917994,9.127900835
7.942743269,7.759250223
5.090426508,6.648111757
6.91596815,8.509777602
8.56994534,10.14675711
6.791264716,9.302204238
10.35520161,8.907299439
6.580825451,9.17481242
7.229391945,8.71502462
8.46809864,8.951800473
6.474103686,8.023694827
7.886530203,9.981006813
7.407886316,7.432921764
8.355021241,8.859763507
7.874774964,7.279652354
7.142752284,6.88425537
9.896663247,7.211119967
8.526647698,9.357687822
10.80075247,10.22848298
9.654986612,8.662493065
8.060536625,7.784572119
7.839554408,9.453309962
5.573372405,7.256422435
10.54774172,7.676986307
10.32399233,7.344706978
8.424744919,8.817767583
9.269237183,9.01177244
9.995485263,10.26173371
8.336295856,7.529247552
8.613518874,8.206619716
7.957544613,6.812519825
6.087064229,7.139628381
8.886436948,9.195929037
10.2788445,10.52322948
7.058752773,8.502812205
9.906033118,9.427821214
9.201924139,8.977874095
9.830285669,10.97538186
6.740254778,9.080684213
7.723942802,8.477311808
6.195657499,7.59890135
8.202183809,7.304438187
9.661644847,10.43406489
6.904279877,10.73395725
7.390746925,5.875442028
8.637832384,7.602274434
8.50442109,9.828583504
4.705766871,10.58884462
7.495513883,8.697970911
10.47894491,8.338530228
8.546589082,8.130763565
8.692983526,8.668487003
7.721687564,9.484784942
7.943051067,9.044997196
7.061739051,8.530974246
9.919938073,9.162248644
8.617270682,9.0230395390000009
9.768709251,7.739371214
7.914939596,5.709895478
9.159814801,7.859341635
8.185309346,6.884580342
9.325329383,9.763036351
9.678307996,8.827873461
8.819566876,7.097367523
8.807067448,9.103511394
9.325827554,9.000736542
6.359825294,7.179710298
9.049504386,8.991921599
7.143691169,9.921475167
7.456273694,9.150845853
8.328646442,7.208248078
8.600400456,6.950937611
5.211075214,5.964606159
8.964421482,9.889645066
7.648786278,8.522842675
8.203229321,8.964527867
7.914490631,10.10515782
6.061032765,9.51073343
10.18172782,8.812761898
8.453872482,6.89498023
8.810866514,7.92237974
8.667293647,10.01512494
9.709450711,6.70576901
8.171068746,9.218353725
9.468745785,9.980757887
9.617668608,9.204463228
8.263590114,6.263355733
6.895271021,7.870716125
8.489889398,6.480378207
8.396367876,10.84371721
5.641456482,9.427289481
7.638231606,9.526061666
7.254526356,8.338713288
9.321351569,8.589056673
9.686880951,8.845032934
9.079617164,7.01220215
7.721470317,5.981241755
7.632851556,7.535297229
5.406023544,7.375145032
8.503721675,8.721162834
8.040343723,8.749346397
9.278800236,9.545087654
7.03634872,5.889574271
8.876197307,7.270025532
7.815769809,7.138928543
6.165925705,7.732779523
7.559297563,8.153839668
7.148460316,7.65975932
8.80567447,10.6715805
8.948666384,8.493192731
9.409134059,9.999806978
8.77093086,8.69473379
7.719327509,9.926316591
9.628219469,7.081505759
7.348035856,7.624946672
10.14708173,7.524147766
7.998015993,7.111177446
8.532145968,9.221111995
9.400528625,8.086075255
9.058192941,9.119543585
9.373050803,8.219291315
8.956017232,9.394225545
8.116593625,7.906559919
9.45707359,7.907114384
8.757465671,5.879700966
6.588235899,5.820784438
9.000962194,9.136462274
9.404013394,9.143700597
5.967363991,6.480467753
5.647114623,7.118964424
5.592413153,8.738048015
7.262735837,9.518590185
9.987070402,6.910496017
8.599265497,10.84683782
8.196734117,8.783670875
8.916651583,9.020157415
9.943991424,10.09491436
7.048500571,7.360928393
8.778653253,10.54011527
8.658995901,10.65879354
9.411718684,8.365970206
6.084924698,7.418714291
8.787937166,8.664185145
10.93644359,10.01575157
8.615269605,8.646813342
8.032971536,6.308102667
8.117858962,9.711970491
7.655134577,8.471066258
7.615353418,9.386708395
10.30672441,7.137381594
8.867221178,7.939234559
8.227629007,7.081842616
8.287540042,9.779525381
8.114441175,10.28982101
8.2277786,7.139667406
9.564445103,8.279276747
6.247107011,5.923392795
6.485852228,7.582450326
8.053359756,7.731228585
7.210143479,6.105526478
8.165168399,7.311006445
9.821496932,9.376189801
8.698158149,9.881169319
6.698518978,7.596903956
7.223906109,7.222835442
7.888587853,8.280034237
8.063391617,6.653324684
9.626428254,7.816003037
10.26223828,10.65598528
9.926872613,9.690954091
9.50664634,9.661530147
8.880807974,8.363870722
6.33294395,6.358423716
8.588550167,5.99526555
8.331235878,6.84848568
8.798473948,10.35774111
8.891361531,7.940715323
7.748728921,8.399983706
9.303289139,8.436526393
11.16131741,6.802417417
9.4438287420000009,8.314990235
7.468923449,8.61298898
8.191866842,5.340705591
10.85613066,10.66640596
5.670912941,7.642964761
7.635775143,6.405681754
9.781599554,9.23997656
8.314653733,9.560632633
5.559734444,7.240780809
9.05903188,7.806196731
6.464260267,10.25988358
8.621507346,9.509403391
8.445621899,8.653153707
7.517327359,6.989288253
9.089991284,8.293746566
9.769374703,9.093204343
7.666015984,6.150117409
9.07018136,5.611250039
5.597975305,7.836907978
9.051198229,8.416065207
7.805439895,8.611334567
7.288034186,5.456147362
7.567417807,7.210059124
8.430192499,7.740240612
7.003497612,7.950617235
8.089175207,10.08869144
8.629057185,7.778619742
7.431125921,7.867899428
7.382389476,6.346577391
8.71775279,6.977340484
7.818247704,6.757055531
8.855102246,7.358957077
9.099294965,10.3270486
